envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
455	5331000	5715000	5355000	5355000	5475000	4755000	
456	5400000	5832000	5472000	5352000	5472000	4872000	
457	5421000	5829000	5469000	5349000	5589000	4869000	
458	5442000	5826000	5466000	5346000	5706000	4866000	
459	5439000	5823000	5463000	5343000	5703000	4863000	
460	5508000	5820000	5580000	5460000	5700000	4980000	
461	5529000	5817000	5697000	5457000	5697000	4977000	
462	5526000	5814000	5694000	5454000	5694000	4974000	
463	5547000	5811000	5691000	5451000	5691000	5091000	
464	5592000	5928000	5688000	5568000	5688000	5088000	
465	5613000	5925000	5685000	5565000	5805000	5085000	
466	5610000	5922000	5682000	5562000	5802000	5082000	
467	5607000	5919000	5679000	5559000	5799000	5079000	
468	5628000	5916000	5676000	5556000	5916000	5076000	
469	5625000	5913000	5673000	5553000	5913000	5073000	
470	5646000	5910000	5670000	5670000	5910000	5070000	
471	5643000	5907000	5667000	5667000	5907000	5067000	
472	5688000	6024000	5664000	5664000	5904000	5184000	
473	5733000	6141000	5661000	5661000	6021000	5181000	
474	5730000	6138000	5658000	5658000	6018000	5178000	
475	5775000	6135000	5655000	5655000	6135000	5295000	
476	5820000	6252000	5652000	5772000	6132000	5292000	
477	5841000	6249000	5769000	5769000	6129000	5289000	
478	5838000	6246000	5766000	5766000	6126000	5286000	
479	5859000	6243000	5883000	5763000	6123000	5283000	
480	5880000	6240000	5880000	5760000	6240000	5280000	
481	5901000	6237000	5877000	5757000	6357000	5277000	
482	5898000	6234000	5874000	5754000	6354000	5274000	
483	5919000	6231000	5991000	5751000	6351000	5271000	
484	5916000	6228000	5988000	5748000	6348000	5268000	
485	5913000	6225000	5985000	5745000	6345000	5265000	
486	5934000	6222000	5982000	5742000	6342000	5382000	
487	5931000	6219000	5979000	5739000	6339000	5379000	
488	5952000	6336000	5976000	5736000	6336000	5376000	
489	5973000	6333000	5973000	5853000	6333000	5373000	
490	5994000	6330000	5970000	5850000	6330000	5490000	
491	6015000	6447000	5967000	5847000	6327000	5487000	
492	6012000	6444000	5964000	5844000	6324000	5484000	
493	6009000	6441000	5961000	5841000	6321000	5481000	
494	6030000	6438000	5958000	5838000	6438000	5478000	
495	6051000	6435000	5955000	5835000	6435000	5595000	
496	6048000	6432000	5952000	5832000	6432000	5592000	
497	6069000	6429000	5949000	5949000	6429000	5589000	
498	6090000	6426000	5946000	5946000	6426000	5706000	
499	6111000	6423000	5943000	5943000	6423000	5823000	
500	6156000	6540000	5940000	6060000	6420000	5820000	
501	6177000	6537000	5937000	6177000	6417000	5817000	
502	6222000	6534000	5934000	6294000	6534000	5814000	
503	6267000	6651000	6051000	6291000	6531000	5811000	
504	6264000	6648000	6048000	6288000	6528000	5808000	
505	6309000	6645000	6165000	6405000	6525000	5805000	
506	6330000	6642000	6282000	6402000	6522000	5802000	
507	6327000	6639000	6279000	6399000	6519000	5799000	
508	6348000	6636000	6276000	6396000	6636000	5796000	
509	6369000	6633000	6273000	6513000	6633000	5793000	
510	6390000	6750000	6270000	6510000	6630000	5790000	
511	6411000	6867000	6267000	6507000	6627000	5787000	
512	6456000	6864000	6384000	6504000	6624000	5904000	
513	6453000	6861000	6381000	6501000	6621000	5901000	
514	6474000	6858000	6378000	6498000	6618000	6018000	
515	6495000	6855000	6495000	6495000	6615000	6015000	
516	6492000	6852000	6492000	6492000	6612000	6012000	
517	6513000	6849000	6489000	6609000	6609000	6009000	
518	6558000	6846000	6606000	6606000	6606000	6126000	
519	6603000	6843000	6723000	6603000	6723000	6123000	
520	6600000	6840000	6720000	6600000	6720000	6120000	
521	6621000	6837000	6717000	6717000	6717000	6117000	
522	6642000	6834000	6714000	6714000	6714000	6234000	
523	6663000	6831000	6711000	6711000	6711000	6351000	
524	6684000	6948000	6708000	6708000	6708000	6348000	
525	6705000	6945000	6825000	6705000	6705000	6345000	
526	6702000	6942000	6822000	6702000	6702000	6342000	
527	6723000	6939000	6819000	6819000	6699000	6339000	
528	6720000	6936000	6816000	6816000	6696000	6336000	
529	6717000	6933000	6813000	6813000	6693000	6333000	
530	6738000	6930000	6810000	6810000	6690000	6450000	
531	6735000	6927000	6807000	6807000	6687000	6447000	
532	6756000	6924000	6804000	6804000	6684000	6564000	
